Equipment Code,Elevator or Escalator,Asset Class,Station MRN,Station Name,Station Description,Station Complex MRN,Station Complex Description,Subway Line,Borough,X Coordinate,Y Coordinate,Original Installation Date,Latest Installation Date,Service Status Code,Service Status,Service Life,NYCT Owned,Maintained By,Installer,Revenue Machine,ADA Compliant,Street Access,Exposed to Weather,Escalator Rise,Elevator Rise,Elevator Capacity,Elevator Loading Class,Elevator Number of Landings,Escalator Number of Steps,Escalator Step Width,Elevator Direction Serviced,Elevator Order,Elevator Mezzanine 1 Access,Elevator Mezzanine 2 Access,Elevator Platform Access,Notes,Redundant Elevator,Redundant Elevator Street Access,Redundant Elevator Mezzanine Access,Redundant Elevator Access Between Mezzanines,Redundant Elevator Platform Access,Alternative Route,Georeference
ES600X,Escalator,Escalator,275,LEXINGTONAV/53ST-QBL-E/M,Lexington Av/53 St - Station,612,"Lexington Av-53 St (E,M)/51 St (6)",IND-D-QUEENSBLVD,Manhattan,40.75814,-73.970924,,01/02/1900,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,AM,YES,,NO,NO,,,,,,,,,,,,,6/E/F mezzanine to 52 St & Lexington Av (NE corner).,,,,,,,POINT (-73.970924 40.75814)
EL200X,Elevator,Elevator Hydraulic,012,34ST-HERALDSQ-BWY-M/N/R/Q,34 St-Herald Sq - Station,607,"34 St-Herald Sq (B,D,F,M,N,Q,R)",BMT-A-BROADWAY/BRIGHTON,Manhattan,40.748768,-73.98873,01/01/1900,08/01/1990,IFIS,Installed-Functioning-In Service,17,NO,Private Contractor,DOVER,YES,NO,NO,NO,,,,,,,,Both,2,+,-,-,6th Ave & 32 St (NW corner) to mezzanine for PATH service and access to subway service via stairs or non-ADA ramp,+,213,213,,,Use another elevator on this level.,POINT (-73.98873 40.748768)
ES102,Escalator,Escalator,306,125ST-BWY7-1,125 St - Station,306,,IRT-BB-BROADWAY/7AV,Manhattan,40.81564,-73.95858,06/17/1905,01/04/2002,IFIS,Installed-Functioning-In Service,22,YES,NYCT,FUJITEC,YES,,YES,YES,50',,,,,169,600,,,,,,125 St & Broadway (SW corner) to mezzanine,,,,,,,POINT (-73.95858 40.81564)
ES348,Escalator,Escalator,238,SMITH-9STS-6AV-F/G,Smith-9 Sts - Station,238,,IND-B-6AV/CULVER,Brooklyn,40.67462,-73.99715,02/03/1999,01/01/2026,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,NO,28',,,,,166,32in,,,,,,9th St & Smith St (NE corner) to intermediate mezzanine,,,,,,,POINT (-73.99715 40.67462)
ES425,Escalator,Escalator,221,21ST-QUEENSBRIDGE-63S-F,21 St-Queensbridge - Station,221,,IND-T-63ST,Queens,40.753986,-73.94265,10/01/1989,05/01/2026,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,NO,NO,11',,,,,53,40in,,,,,,mezzanine to Jamaica 179 St-bound platform,,,,,,,POINT (-73.94265 40.753986)
ES244,Escalator,Escalator,275,LEXINGTONAV/53ST-QBL-E/M,Lexington Av/53 St - Station,612,"Lexington Av-53 St (E,M)/51 St (6)",IND-D-QUEENSBLVD,Manhattan,40.758118,-73.97042,09/14/1963,08/14/2025,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,NO,NO,56' 21-4in,,,,,217,40,,,,,,E/F platform to mezzanine for 6 train and 53 St & Lexington Av exit.,,,,,,,POINT (-73.97042 40.758118)
ES259,Escalator,Escalator,475,96ST-2AV-Q,96 St - Station,475,,IND-S-2AV,Manhattan,40.78409,-73.947464,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,8220mm (26'  11 5/8in),,,,,108,1000 mm (39 3/8in),,,,,,96 St & 2nd Ave (SW corner) to mezzanine,,,,,,,POINT (-73.947464 40.78409)
ES249,Escalator,Escalator,007,LEXINGTONAV/59ST-AST-N/R/Q,Lexington Av/59 St - Station,613,"Lexington Av (N,Q,R)/59 St (4,5,6)",BMT-G-ASTORIA,Manhattan,40.76226,-73.96628,10/30/1973,04/27/2003,IFIS,Installed-Functioning-In Service,22,YES,NYCT,FUJITEC,YES,,NO,NO,33',,,,,117,40,,,,,,mezzanine (3rd Ave & 60 St) to N/R/W platform for service in both directions,,,,,,,POINT (-73.96628 40.76226)
ES377X,Escalator,Escalator,172,FULTONST-8AV-A/C,Fulton St - Station,628,"Fulton St (A,C,J,Z,2,3,4,5)",IND-A-8AV/FULTONST,Manhattan,40.70928,-74.008354,,07/20/2012,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,OTIS,YES,,NO,NO,,,,,,,,,,,,,Broad St-bound J/Z platform to Nassau St (between Maiden Lane & John St),,,,,,,POINT (-74.008354 40.70928)
EL352,Elevator,Elevator Traction,184,BROADWAYJUNCTION-8AV-A/C,Broadway Junction - Station,621,"Broadway Junction (A,C,J,L,Z)",IND-A-8AV/FULTONST,Brooklyn,40.67842,-73.90047,06/01/1950,08/21/2003,IFIS,Installed-Functioning-In Service,22,YES,NYCT,WATSON,NO,NO,NO,NO,,,10000,Freight,,,,,,,,,Freight Elevator At Eny Depot,,,,,,,POINT (-73.90047 40.67842)
EL359X,Elevator,Elevator Hydraulic,,,,,,,Brooklyn,40.65187,-74.002075,,01/02/1900,IFIS,Installed-Functioning-In Service,17,NO,Private Contractor,AM,NO,YES,NO,NO,,,,,,,,,,,,,3 Landings,,,,,,,POINT (-74.002075 40.65187)
ES120,Escalator,Escalator,360,PELHAMBAYPARK-PEL-6,Pelham Bay Park - Station,360,,IRT-P-PELHAM,Bronx,40.852863,-73.827156,09/01/1989,09/17/2022,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,3902 mm (12'-9 5/8in),,,,,58,1000 mm (40in NOMINAL),,,,,,Amendola Plaza entrance to mezzanine,,,,,,,POINT (-73.827156 40.852863)
EL610,Elevator,Elevator Hydraulic,116,6AV-CNR-L,6 Av - Station,601,"14 St (F,M,1,2,3)/6 Av (L)",BMT-Q-14ST/CANARSIE,Manhattan,40.737335,-73.99679,12/13/2024,12/13/2024,IFIS,Installed-Functioning-In Service,17,YES,Third-Party Contractor,,YES,YES,NO,NO,,,2700,,,,,Both,2,-,+,+,Lower mezzanine to L platform.,-,,,,,"If you are on the L platform: Use EL609 (follow signage for uptown F/M) and EL611 to exit the station. For 1/2/3 and downtown F/M, cross 6 Av and re-enter the station using EL612. If you are on the lower mezzanine: Exit the station. Cross 6 Av and use EL611 to re-enter the station for L service.",POINT (-73.99679 40.737335)
ES111,Escalator,Escalator,366,PARKCHESTER-PEL-6,Parkchester - Station,366,,IRT-P-PELHAM,Bronx,40.83322,-73.86119,01/01/1967,04/24/2026,IFIS,Installed-Functioning-In Service,22,YES,NYCT,SMARTRISE,YES,,YES,YES,30',,,,,115,40,,,,,,Westchester Ave entrance to Manhattan-bound platform,,,,,,,POINT (-73.86119 40.83322)
ES369,Escalator,Escalator,330,SOUTHFERRY-7AV-1,South Ferry - Station,635,South Ferry (1)/Whitehall St (R),IRT-V-7AV,Manhattan,40.70174,-74.01291,03/16/2009,06/27/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,SCHINDLER,YES,,YES,YES,20',,,,,80,LH: 106'-5in ; RH: 106'-3in,,,,,,Peter Minuit Plaza to mezzanine for 1 and R/W service,,,,,,,POINT (-74.01291 40.70174)
ES318,Escalator,Escalator,174,JAYST-METROTECH-8AV-A/C/F,Jay St-Metro Tech - Station,636,"Jay St-MetroTech (A,C,F,R)",IND-A-8AV/FULTONST,Brooklyn,40.692535,-73.98753,05/01/1958,08/19/2020,IFIS,Installed-Functioning-In Service,22,YES,NYCT,OK,YES,,YES,YES,21',,,,,80,40,,,,,,Jay St & Willoughby St (NW corner) to mezzanine for A/C/F/R service,,,,,,,POINT (-73.98753 40.692535)
EL606X,Elevator,Elevator Hydraulic,469,GRANDCENTRAL-42ST-LEX-S,Grand Central-42 St - Station,610,"Grand Central-42 St (S,4,5,6,7)",IRT-MM-LEXINGTONAV,Manhattan,40.75271,-73.97839,12/09/2020,12/09/2020,IFIS,Installed-Functioning-In Service,17,NO,Private Contractor,,YES,YES,,,,,,,,,,Both,1,+,+,+,"1 Vanderbilt lobby on the Vanderbilt side directly across from Grand Central. 5 landings: street/lobby level, SUMMIT/subway/grand central terminal level, subway shuttle/GCT food concourse level, private (offices), GCM LIRR.",+,"608X, 296, 204","607X, 608X, 296, 204",607X,"607X, 608X","If this elevator is out of service, use nearby elevators.",POINT (-73.97839 40.75271)
EL251,Elevator,Elevator Traction,,,,,,,Manhattan,40.76218,-73.98062,06/01/1958,06/01/1958,IFIS,Installed-Functioning-In Service,22,YES,NYCT,WEST,NO,NO,NO,NO,,,2500,Passenger Yard,,,,,,,,,Passenger Yard Elevator At 53Rd Street/Sub. Station,,,,,,,POINT (-73.98062 40.76218)
ES280,Escalator,Escalator,476,86ST-2AV-Q,86 St - Station,476,,IND-S-2AV,Manhattan,40.777653,-73.951416,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,13719 mm (45' 0 1/8in),,,,,164,"40in (NOMINAL), 996 mm",,,,,,upper mezzanine (86 St & 2nd Ave) to lower mezzanine,,,,,,,POINT (-73.951416 40.777653)
ES261X,Escalator,Escalator,317,TIMESSQ-42ST-7AV-1/2/3,Times Sq-42 St - Station,611,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",IRT-V-7AV,Manhattan,40.756054,-73.9875,,08/01/1990,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,AM,YES,,NO,NO,,,,,,,,,,,,,42 St & 7th Ave (SW corner) to mezzanine for 1/2/3 service and access to rest of complex,,,,,,,POINT (-73.9875 40.756054)
EL354,Elevator,Elevator Traction,,,,,,,Brooklyn,40.58904,-73.9749,01/01/1928,01/10/2005,IFIS,Installed-Functioning-In Service,22,YES,NYCT,HOLLISTER-WHITNEY,NO,NO,YES,NO,,,10000,Freight,,,,,,,,,Street To 1St & 2Nd Floor,,,,,,,POINT (-73.9749 40.58904)
ES242,Escalator,Escalator,276,5AV/53ST-QBL-E/M,5 Av/53 St - Station,276,,IND-D-QUEENSBLVD,Manhattan,40.75964,-73.97393,09/08/1959,05/01/1998,RNOS,Removed-Non Functioning-Out of Service,22,YES,NYCT,OK,YES,,NO,NO,41',,,,,144,40,,,,,,mezzanine (Madison Ave & 53 St) to downtown platform,,,,,,,POINT (-73.97393 40.75964)
ES378X,Escalator,Escalator,333,WALLST-CLK-2/3,Wall St - Station,333,,IRT-K-CLARKST,Manhattan,40.70666,-74.00876,,06/21/2012,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,SCHINDLER,YES,,NO,NO,,,,,,,,,,,,,mezzanine-level passageway to 60 Wall St atrium (between William St & Pearl St),,,,,,,POINT (-74.00876 40.70666)
ES276,Escalator,Escalator,476,86ST-2AV-Q,86 St - Station,476,,IND-S-2AV,Manhattan,40.776176,-73.95268,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,"23,519 mm (77' 1 15/16in)",,,,,269,,,,,,,83 St & 2nd Ave (NE corner) to lower mezzanine,,,,,,,POINT (-73.95268 40.776176)
ES260,Escalator,Escalator,475,96ST-2AV-Q,96 St - Station,475,,IND-S-2AV,Manhattan,40.78408,-73.94745,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,8220mm (26'  11 5/8in),,,,,108,1000 mm (39 3/8in),,,,,,mezzanine to 96 St & 2nd Ave (SW corner),,,,,,,POINT (-73.94745 40.78408)
ES239,Escalator,Escalator,276,5AV/53ST-QBL-E/M,5 Av/53 St - Station,276,,IND-D-QUEENSBLVD,Manhattan,40.76059,-73.97628,06/20/1960,12/09/2025,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,NO,NO,48',,,,,166,40,,,,,,downtown platform to mezzanine for 5th Ave & 53 St exit,,,,,,,POINT (-73.97628 40.76059)
EL155,Elevator,Elevator Traction,,,,,,,Manhattan,40.866722,-73.916016,06/01/1932,06/01/1932,IFIS,Installed-Functioning-In Service,22,YES,NYCT,OTIS,NO,NO,NO,NO,,,6000,Freight,,,,,,,,,Freight Elevator At 207Th Street Yard,,,,,,,POINT (-73.916016 40.866722)
ES411,Escalator,Escalator,222,ROOSEVELTISLAND-63S-F,Roosevelt Island - Station,222,,IND-T-63ST,Manhattan,40.75905,-73.95321,10/01/1989,11/19/2007,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,NO,38',,,,,136,40,,,,,,W Rd entrance to intermediate mezzanine,,,,,,,POINT (-73.95321 40.75905)
